UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jodi K,@IFeelUThatsCray,2022-03-28T03:15:57.000Z,"Jodi K
@IFeelUThatsCray
·
28 Mar"," #Dogecoin looking strong
9
15
51",🚀 🚀 🚀 🚀 💪 🐕,9,15,51,['https://pbs.twimg.com/media/FO5-OUKVUAMWp1j?format=jpg&name=small'],https://twitter.com/IFeelUThatsCray/status/1508281712362487808
Nikita Perry,@NikitaPerry37,2022-03-28T17:23:22.000Z,"Nikita Perry
@NikitaPerry37
·
28 Mar","Any platform #Shibadoge is welcomed on I guarantee we’re going to bring major revenue and profit and you can stamp that with major approval 1st day on LBank and we’re super strong in the paint!!! 
@ShibaDoge_Army
 @Shibtoken
 @dogecoin
 @cz_binance
 @kucoincom
 @coinbase
5
15
16",🔥 🔥 🔥 🔥 🔥,5,15,16,['https://pbs.twimg.com/media/FO9ALWoXsAsuyMX?format=jpg&name=900x900'],https://twitter.com/NikitaPerry37/status/1508494973259427854
Nikita Perry,@NikitaPerry37,2022-03-28T15:25:56.000Z,"Nikita Perry
@NikitaPerry37
·
28 Mar","Replying to 
@KevinDo67723295
 @ShibaDoge_Army
  and 3 others
We can’t be stopped and we won’t be stopped and that’s guaranteed #Shibadoge
3
4",,,3,4,[],https://twitter.com/NikitaPerry37/status/1508465418670858262
Makala Willets,@WilletsMakala,2022-03-28T06:05:00.000Z,"Makala Willets
@WilletsMakala
·
28 Mar",Get your free dogecoins now! #dogecoin https://dogefaucet.com/en/what-now/DTgRC7PPBei2MZVQp3NTpEpFC5YLhbLzwx…,,,,,[],https://twitter.com/WilletsMakala/status/1508324254424526848
Terence Jnr,@Terence_Jnr_,2022-03-28T17:20:32.000Z,"Terence Jnr
@Terence_Jnr_
·
28 Mar","Hail king #MarvinInu 
The best #memecoin ever!!
@Marvin_Inu
#BInance #Bitcoin #x1000Gems #Giveaway #Floki #SHIB #BSCGems #Saitama #dogecoin #NFTs #GameZone
3
23
28",🔥,3,23,28,['https://pbs.twimg.com/media/FO8_h-gWQAsv4os?format=jpg&name=small'],https://twitter.com/Terence_Jnr_/status/1508494259367915531
Matt Wallace,@MattWallace888,2022-03-28T20:29:05.000Z,"Matt Wallace
@MattWallace888
·
29 Mar","Replying to 
@elonmusk
 and 
@BillyM2k
Perhaps a giant Dogecoin painted on a rocket too 
33
42
385",😍 👀,33,42,385,[],https://twitter.com/MattWallace888/status/1508541710296616966
Dogs ¤N£¥.Doge♡,@NVE_RESALE_SHOP,2022-03-28T18:21:23.000Z,"Dogs ¤N£¥.Doge♡
@NVE_RESALE_SHOP
·
28 Mar","Replying to 
@engineers_feed
Explain #dogecoin
3
2",,3,,2,[],https://twitter.com/NVE_RESALE_SHOP/status/1508509571417088009
Sylvester Michael,@ARS_SLY,2022-03-28T15:56:01.000Z,"Sylvester Michael
@ARS_SLY
·
28 Mar","There's always a leader in the jungle and 
@FoilNetwork
 is our leader while others follows behind.
#foilnetwork 
#dogecoin 
#PureNFT 
#TrueNFT
7",,,,7,['https://pbs.twimg.com/media/FO8sLuUXMAgpfbK?format=jpg&name=small'],https://twitter.com/ARS_SLY/status/1508472990358552586
Carlos Sousa,@sousacarlos222,2022-03-28T09:43:25.000Z,"Carlos Sousa
@sousacarlos222
·
28 Mar","15cents #dogecoin #DogecoinToTheMoon 
@rovercrc
 @MattWallace888
 @elonmusk
 @nylo44
 @MYLESGINVEST",,,,,['https://pbs.twimg.com/media/FO7W6BeXMAYJKCU?format=jpg&name=900x900'],https://twitter.com/sousacarlos222/status/1508379220984086534
$ajjaĐ,@SajadSa73929478,2022-03-28T14:24:14.000Z,"$ajjaĐ
@SajadSa73929478
·
28 Mar","Replying to 
@070guy
 @sodogetip
  and 10 others
#JustTheTip with 
@sodogetip
 #DoOnlyGoodEveryday
3
1
2",,3,1,2,[],https://twitter.com/SajadSa73929478/status/1508449892892565506
Ziemense,@Ziemens_marvin2,2022-03-28T21:40:03.000Z,"Ziemense
@Ziemens_marvin2
·
29 Mar","Replying to 
@NAOMI_GOLF
 @King366614693
  and 10 others
#MarvinInu is a #memecoin investors don’t want to miss out on
3
3",,,3,3,[],https://twitter.com/Ziemens_marvin2/status/1508559566778376195
Evoke,@_evokem,2022-03-28T17:54:55.000Z,"Evoke
@_evokem
·
28 Mar","Replying to 
@Chris_Lv99
 @Doshi_Token
  and 2 others
Based community, based team, wonderful devs. Great project #doshi is the next big thing
1
5",,,1,5,[],https://twitter.com/_evokem/status/1508502912007344139
ᗪOGE ᑎIᑎᒍᗩ,@doge_ninja69,2022-03-28T13:27:49.000Z,"ᗪOGE ᑎIᑎᒍᗩ
@doge_ninja69
·
28 Mar","Replying to 
@RickOtt9
 and 
@DogeSecurity1
I can’t hear you!!! #DOGECOIN #DOGECOIN #DOGECOIN!!!
GIF
2
5
6",,2,5,6,[],https://twitter.com/doge_ninja69/status/1508435692208148484
Ziemense,@Ziemens_marvin2,2022-03-28T21:42:53.000Z,"Ziemense
@Ziemens_marvin2
·
29 Mar","Replying to 
@talkmada
 @King366614693
  and 4 others
#Marvin is the heartwarming #memecoin
1",,,,1,[],https://twitter.com/Ziemens_marvin2/status/1508560281374539784
popo,@myx2818,2022-03-28T14:10:10.000Z,"popo
@myx2818
·
28 Mar","Replying to 
@dogecoin
 and 
@TheGivingBlock
hi ,I can produce you
1
2",,1,,2,[],https://twitter.com/myx2818/status/1508446351323168771
p_v___5h_4_r_m_4,@P122114,2022-03-28T06:46:27.000Z,"p_v___5h_4_r_m_4
@P122114
·
28 Mar","Replying to 
@BNBCHAIN
Baby dogecoin is good but when 
@binance
 you list 
@BabyDogeCoin
???
2
2",,2,,2,[],https://twitter.com/P122114/status/1508334685109166080
GHM 26K,@070guy,2022-03-28T20:20:52.000Z,"GHM 26K
@070guy
·
29 Mar","Replying to 
@Dogeiran69420
 @sodogetip
  and 9 others
@sodogetip
 tip 
@Dogeiran69420
 1.42069 Doge 
GIF
2
2
4",🐕 🚀 🐕,2,2,4,[],https://twitter.com/070guy/status/1508539641477140486
GHM 26K,@070guy,2022-03-28T17:06:35.000Z,"GHM 26K
@070guy
·
28 Mar","Replying to 
@naveen6802
 @sodogetip
  and 10 others
@sodogetip
 tip 
@naveen6802
 1.42069 Doge 
3
1
2",🐕 🚀 🐕,3,1,2,[],https://twitter.com/070guy/status/1508490750350315528
Dhaval Joshi,@DhavalJoshi_24,2022-03-28T21:20:55.000Z,"Dhaval Joshi
@DhavalJoshi_24
·
29 Mar","###DONT SELL SHIBA INU AND DOGECOIN TILL 1.00 USD ### 

years story now have to change, now its time to BULL RUN for SHIBA AND DOGECOIN, 
@BinanceUS
@elonmusk
@dogecoin
 @Shibtoken
 @BinanceResearch
1
1",,1,,1,[],https://twitter.com/DhavalJoshi_24/status/1508554752291913728
carlos_marvin,@carlos_marvin4,2022-03-28T21:58:27.000Z,"carlos_marvin
@carlos_marvin4
·
29 Mar","Replying to 
@NAOMI_GOLF
 @lorenzo_marvin1
  and 10 others
#Marvin is the #memecoin that makes friends boast among other",,,,,[],https://twitter.com/carlos_marvin4/status/1508564199139590153
Eduardo Praça,@GaR172,2022-03-28T18:39:18.000Z,"Eduardo Praça
@GaR172
·
28 Mar","Replying to 
@dogeofficialceo
 and 
@elonmusk
If Dogecoin is pumping, Dogelon Mars is about to explode!
1
1
6",,1,1,6,[],https://twitter.com/GaR172/status/1508514081870954508
Crypto_Doge,@Im_in_Crypto,2022-03-28T17:22:08.000Z,"Crypto_Doge
@Im_in_Crypto
·
28 Mar","Replying to 
@Oonabot
Vote for 
@mishaboar
 
#doge #dogecoin #DogecoinToTheMoon
1
4
10",,1,4,10,['https://pbs.twimg.com/media/FO8_5k_aUAEjqaz?format=jpg&name=360x360'],https://twitter.com/Im_in_Crypto/status/1508494661853548544
Willard,@AddMeElonLol,2022-03-28T02:19:38.000Z,"Willard
@AddMeElonLol
·
28 Mar","#Dogecoin is righteous
1
1
1",,1,1,1,[],https://twitter.com/AddMeElonLol/status/1508267540107210756
Daryna Doge Girl,@DarynaDogeGirl,2022-03-28T11:40:46.000Z,"Daryna Doge Girl
@DarynaDogeGirl
·
28 Mar","Replying to 
@dogesuppporteam
0.25 this week ?! #dogecoin",🐕 🙏,,,,[],https://twitter.com/DarynaDogeGirl/status/1508408754471112705
Mark Landis,@Dogecoin3333,2022-03-28T22:13:21.000Z,"Mark Landis
@Dogecoin3333
·
29 Mar","@AskPayPal
 When can we expect #Doge #Dogecoin ?
1",,,1,,[],https://twitter.com/Dogecoin3333/status/1508567948646092800
NFTSpeculator,@NFT_Speculator,2022-03-28T03:42:57.000Z,"NFTSpeculator
@NFT_Speculator
·
28 Mar","Replying to 
@ptownsurf
, 
@davidmackau
 and 
@AstroZeroNFT
#ELONONE made me weathy professionally and personally... #shiba #dogecoin we are up next... 

https://linktr.ee/AstroZero
9
14",,,9,14,['https://pbs.twimg.com/ext_tw_video_thumb/1508288470812225537/pu/img/p1qo1X_YysC_Nt3Y.jpg'],https://twitter.com/NFT_Speculator/status/1508288506182791172
Markian Danyliv,@MDanyliv,2022-03-28T18:55:32.000Z,"Markian Danyliv
@MDanyliv
·
28 Mar","Replying to 
@doge_ninja69
 @pythadoge
  and 9 others
It's time for the #dogearmy to #RunItBack!!! TO THE MOON
1
6",🚀 🚀,,1,6,[],https://twitter.com/MDanyliv/status/1508518165248151565
